ablation,seed,episode,total_return,episode_length,termination_reason,loss,epsilon
buffer_100k,0,0,-39.467,67,sleep,60.181441,1.0
buffer_100k,0,1,-179.047,121,crash,85.138152,0.995
buffer_100k,0,2,-216.426,90,crash,51.289482,0.99
buffer_100k,0,3,-75.77,101,sleep,45.641404,0.9851
buffer_100k,0,4,-87.456,111,crash,37.536396,0.9801
buffer_100k,1,0,-123.206,119,crash,2.379367,1.0
buffer_100k,1,1,-198.147,95,crash,65.142949,0.995
buffer_100k,1,2,-95.729,92,sleep,66.498101,0.99
buffer_100k,1,3,-118.497,125,sleep,58.481085,0.9851
buffer_100k,1,4,-106.901,117,crash,37.524441,0.9801
buffer_100k,2,0,-135.058,101,crash,6.978159,1.0
buffer_100k,2,1,-108.607,100,sleep,66.141735,0.995
buffer_100k,2,2,-240.748,124,crash,75.427327,0.99
buffer_100k,2,3,-46.53,127,sleep,74.700219,0.9851
buffer_100k,2,4,-330.173,98,out-of-view,63.886631,0.9801
buffer_100k,3,0,-241.299,105,crash,5.381885,1.0
buffer_100k,3,1,-331.013,139,crash,64.022783,0.995
buffer_100k,3,2,-197.342,144,crash,62.988694,0.99
buffer_100k,3,3,-367.908,92,out-of-view,48.595204,0.9851
buffer_100k,3,4,-177.222,87,crash,70.271139,0.9801
buffer_100k,4,0,-55.536,129,crash,16.352274,1.0
buffer_100k,4,1,-382.534,134,crash,77.855364,0.995
buffer_100k,4,2,-327.956,96,out-of-view,62.674785,0.99
buffer_100k,4,3,-104.831,81,crash,74.249203,0.9851
buffer_100k,4,4,35.681,88,sleep,100.009598,0.9801
